experiment_name,experiment_type,experiment_subtype,train_dataset_name,train_task_number,train_task_name,task_name,Accuracy,F1 Score,Precision,Recall
mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,0,metal-pop,metal-pop,0.9824561476707458,0.9824561476707458,0.9824561476707458,0.9824561476707458
mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,1,country-disco,metal-pop-country-disco,0.4568965435028076,0.4568965435028076,0.4568965435028076,0.4568965435028076
mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.2586206793785095,0.2586206793785095,0.2586206793785095,0.2586206793785095
mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.2118644118309021,0.2118644118309021,0.2118644118309021,0.2118644118309021
mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.1793103516101837,0.1793103516101837,0.1793103516101837,0.1793103516101837
mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,0,metal-pop,metal-pop,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916
mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,1,country-disco,metal-pop-country-disco,0.6293103694915771,0.6293103694915771,0.6293103694915771,0.6293103694915771
mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.4195402264595032,0.4195402264595032,0.4195402264595032,0.4195402264595032
mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.4491525292396545,0.4491525292396545,0.4491525292396545,0.4491525292396545
mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.2655172348022461,0.2655172348022461,0.2655172348022461,0.2655172348022461
mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,0,metal-pop,metal-pop,1.0,1.0,1.0,1.0
mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,1,country-disco,metal-pop-country-disco,0.6982758641242981,0.6982758641242981,0.6982758641242981,0.6982758641242981
mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.3735632300376892,0.3735632300376892,0.3735632300376892,0.3735632300376892
mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.3644067943096161,0.3644067943096161,0.3644067943096161,0.3644067943096161
mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.2586206793785095,0.2586206793785095,0.2586206793785095,0.2586206793785095
mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,0,metal-pop,metal-pop,1.0,1.0,1.0,1.0
mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,1,country-disco,metal-pop-country-disco,0.4396551847457886,0.4396551847457886,0.4396551847457886,0.4396551847457886
mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.2586206793785095,0.2586206793785095,0.2586206793785095,0.2586206793785095
mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.2372881323099136,0.2372881323099136,0.2372881323099136,0.2372881323099136
mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.1827586144208908,0.1827586144208908,0.1827586144208908,0.1827586144208908
mert95m_l2p_cl_gtzan_scenario1,CL,L2P,GTZAN,0,metal-pop,metal-pop,1.0,1.0,1.0,1.0
mert95m_l2p_cl_gtzan_scenario1,CL,L2P,GTZAN,1,country-disco,metal-pop-country-disco,0.4396551847457886,0.4396551847457886,0.4396551847457886,0.4396551847457886
mert95m_l2p_cl_gtzan_scenario1,CL,L2P,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.247126430273056,0.247126430273056,0.247126430273056,0.247126430273056
