experiment_name,experiment_type,experiment_subtype,train_dataset_name,train_task_number,train_task_name,task_name,Accuracy,F1 Score,Precision,Recall

mert95m_base_oracle_gtzan_scenario1,Baseline,Oracle,GTZAN,0,metal-pop,metal-pop,0.859649121761322,0.859649121761322,0.859649121761322,0.859649121761322
mert95m_base_oracle_gtzan_scenario1,Baseline,Oracle,GTZAN,1,country-disco,metal-pop-country-disco,0.8534482717514038,0.8534482717514038,0.8534482717514038,0.8534482717514038
mert95m_base_oracle_gtzan_scenario1,Baseline,Oracle,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.7471264600753784,0.7471264600753784,0.7471264600753784,0.7471264600753784
mert95m_base_oracle_gtzan_scenario1,Baseline,Oracle,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.6906779408454895,0.6906779408454895,0.6906779408454895,0.6906779408454895
mert95m_base_oracle_gtzan_scenario1,Baseline,Oracle,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.7241379022598267,0.7241379022598267,0.7241379022598267,0.7241379022598267
mert95m_base_oracle_gtzan_scenario2,Baseline,Oracle,GTZAN,0,jazz-rock,jazz-rock,0.5762711763381958,0.5762711763381958,0.5762711763381958,0.5762711763381958
mert95m_base_oracle_gtzan_scenario2,Baseline,Oracle,GTZAN,1,classical-hiphop,jazz-rock-classical-hiphop,0.7435897588729858,0.7435897588729858,0.7435897588729858,0.7435897588729858
mert95m_base_oracle_gtzan_scenario2,Baseline,Oracle,GTZAN,2,reggae-country,jazz-rock-classical-hiphop-reggae-country,0.7687861323356628,0.7687861323356628,0.7687861323356628,0.7687861323356628
mert95m_base_oracle_gtzan_scenario2,Baseline,Oracle,GTZAN,3,metal-blues,jazz-rock-classical-hiphop-reggae-country-metal-blues,0.6926407217979431,0.6926407217979431,0.6926407217979431,0.6926407217979431
mert95m_base_oracle_gtzan_scenario2,Baseline,Oracle,GTZAN,4,pop-disco,jazz-rock-classical-hiphop-reggae-country-metal-blues-pop-disco,0.7241379022598267,0.7241379022598267,0.7241379022598267,0.7241379022598267
mert95m_base_oracle_gtzan_scenario3,Baseline,Oracle,GTZAN,0,hiphop-metal,hiphop-metal,0.8703703880310059,0.8703703880310059,0.8703703880310059,0.8703703880310059
mert95m_base_oracle_gtzan_scenario3,Baseline,Oracle,GTZAN,1,reggae-pop,hiphop-metal-reggae-pop,0.8454545736312866,0.8454545736312866,0.8454545736312866,0.8454545736312866
mert95m_base_oracle_gtzan_scenario3,Baseline,Oracle,GTZAN,2,classical-rock,hiphop-metal-reggae-pop-classical-rock,0.7687861323356628,0.7687861323356628,0.7687861323356628,0.7687861323356628
mert95m_base_oracle_gtzan_scenario3,Baseline,Oracle,GTZAN,3,disco-blues,hiphop-metal-reggae-pop-classical-rock-disco-blues,0.6909871101379395,0.6909871101379395,0.6909871101379395,0.6909871101379395
mert95m_base_oracle_gtzan_scenario3,Baseline,Oracle,GTZAN,4,country-jazz,hiphop-metal-reggae-pop-classical-rock-disco-blues-country-jazz,0.7241379022598267,0.7241379022598267,0.7241379022598267,0.7241379022598267

mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,0,metal-pop,metal-pop,0.9824561476707458,0.9824561476707458,0.9824561476707458,0.9824561476707458
mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,1,country-disco,metal-pop-country-disco,0.4568965435028076,0.4568965435028076,0.4568965435028076,0.4568965435028076
mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.2586206793785095,0.2586206793785095,0.2586206793785095,0.2586206793785095
mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.2118644118309021,0.2118644118309021,0.2118644118309021,0.2118644118309021
mert95m_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.1793103516101837,0.1793103516101837,0.1793103516101837,0.1793103516101837
mert95m_finetuning_cl_gtzan_scenario2,CL,Finetuning,GTZAN,0,jazz-rock,jazz-rock,0.9491525292396544,0.9491525292396544,0.9491525292396544,0.9491525292396544
mert95m_finetuning_cl_gtzan_scenario2,CL,Finetuning,GTZAN,1,classical-hiphop,jazz-rock-classical-hiphop,0.504273533821106,0.504273533821106,0.504273533821106,0.504273533821106
mert95m_finetuning_cl_gtzan_scenario2,CL,Finetuning,GTZAN,2,reggae-country,jazz-rock-classical-hiphop-reggae-country,0.2947976887226105,0.2947976887226105,0.2947976887226105,0.2947976887226105
mert95m_finetuning_cl_gtzan_scenario2,CL,Finetuning,GTZAN,3,metal-blues,jazz-rock-classical-hiphop-reggae-country-metal-blues,0.2424242496490478,0.2424242496490478,0.2424242496490478,0.2424242496490478
mert95m_finetuning_cl_gtzan_scenario2,CL,Finetuning,GTZAN,4,pop-disco,jazz-rock-classical-hiphop-reggae-country-metal-blues-pop-disco,0.1793103516101837,0.1793103516101837,0.1793103516101837,0.1793103516101837
mert95m_finetuning_cl_gtzan_scenario3,CL,Finetuning,GTZAN,0,hiphop-metal,hiphop-metal,1.0,1.0,1.0,1.0
mert95m_finetuning_cl_gtzan_scenario3,CL,Finetuning,GTZAN,1,reggae-pop,hiphop-metal-reggae-pop,0.4545454680919647,0.4545454680919647,0.4545454680919647,0.4545454680919647
mert95m_finetuning_cl_gtzan_scenario3,CL,Finetuning,GTZAN,2,classical-rock,hiphop-metal-reggae-pop-classical-rock,0.3526011705398559,0.3526011705398559,0.3526011705398559,0.3526011705398559
mert95m_finetuning_cl_gtzan_scenario3,CL,Finetuning,GTZAN,3,disco-blues,hiphop-metal-reggae-pop-classical-rock-disco-blues,0.2403433471918106,0.2403433471918106,0.2403433471918106,0.2403433471918106
mert95m_finetuning_cl_gtzan_scenario3,CL,Finetuning,GTZAN,4,country-jazz,hiphop-metal-reggae-pop-classical-rock-disco-blues-country-jazz,0.1965517252683639,0.1965517252683639,0.1965517252683639,0.1965517252683639

mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,0,metal-pop,metal-pop,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916
mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,1,country-disco,metal-pop-country-disco,0.6293103694915771,0.6293103694915771,0.6293103694915771,0.6293103694915771
mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.4195402264595032,0.4195402264595032,0.4195402264595032,0.4195402264595032
mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.4491525292396545,0.4491525292396545,0.4491525292396545,0.4491525292396545
mert95m_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.2655172348022461,0.2655172348022461,0.2655172348022461,0.2655172348022461
mert95m_replay_cl_gtzan_scenario2,CL,Replay,GTZAN,0,jazz-rock,jazz-rock,0.9661017060279846,0.9661017060279846,0.9661017060279846,0.9661017060279846
mert95m_replay_cl_gtzan_scenario2,CL,Replay,GTZAN,1,classical-hiphop,jazz-rock-classical-hiphop,0.692307710647583,0.692307710647583,0.692307710647583,0.692307710647583
mert95m_replay_cl_gtzan_scenario2,CL,Replay,GTZAN,2,reggae-country,jazz-rock-classical-hiphop-reggae-country,0.3872832357883453,0.3872832357883453,0.3872832357883453,0.3872832357883453
mert95m_replay_cl_gtzan_scenario2,CL,Replay,GTZAN,3,metal-blues,jazz-rock-classical-hiphop-reggae-country-metal-blues,0.3160173296928406,0.3160173296928406,0.3160173296928406,0.3160173296928406
mert95m_replay_cl_gtzan_scenario2,CL,Replay,GTZAN,4,pop-disco,jazz-rock-classical-hiphop-reggae-country-metal-blues-pop-disco,0.2310344874858856,0.2310344874858856,0.2310344874858856,0.2310344874858856
mert95m_replay_cl_gtzan_scenario3,CL,Replay,GTZAN,0,hiphop-metal,hiphop-metal,1.0,1.0,1.0,1.0
mert95m_replay_cl_gtzan_scenario3,CL,Replay,GTZAN,1,reggae-pop,hiphop-metal-reggae-pop,0.918181836605072,0.918181836605072,0.918181836605072,0.918181836605072
mert95m_replay_cl_gtzan_scenario3,CL,Replay,GTZAN,2,classical-rock,hiphop-metal-reggae-pop-classical-rock,0.5144508481025696,0.5144508481025696,0.5144508481025696,0.5144508481025696
mert95m_replay_cl_gtzan_scenario3,CL,Replay,GTZAN,3,disco-blues,hiphop-metal-reggae-pop-classical-rock-disco-blues,0.4334763884544372,0.4334763884544372,0.4334763884544372,0.4334763884544372
mert95m_replay_cl_gtzan_scenario3,CL,Replay,GTZAN,4,country-jazz,hiphop-metal-reggae-pop-classical-rock-disco-blues-country-jazz,0.3551724255084991,0.3551724255084991,0.3551724255084991,0.3551724255084991

mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,0,metal-pop,metal-pop,1.0,1.0,1.0,1.0
mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,1,country-disco,metal-pop-country-disco,0.6982758641242981,0.6982758641242981,0.6982758641242981,0.6982758641242981
mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.3735632300376892,0.3735632300376892,0.3735632300376892,0.3735632300376892
mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.3644067943096161,0.3644067943096161,0.3644067943096161,0.3644067943096161
mert95m_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.2586206793785095,0.2586206793785095,0.2586206793785095,0.2586206793785095
mert95m_icarl_cl_gtzan_scenario2,CL,iCaRL,GTZAN,0,jazz-rock,jazz-rock,0.9491525292396544,0.9491525292396544,0.9491525292396544,0.9491525292396544
mert95m_icarl_cl_gtzan_scenario2,CL,iCaRL,GTZAN,1,classical-hiphop,jazz-rock-classical-hiphop,0.8461538553237915,0.8461538553237915,0.8461538553237915,0.8461538553237915
mert95m_icarl_cl_gtzan_scenario2,CL,iCaRL,GTZAN,2,reggae-country,jazz-rock-classical-hiphop-reggae-country,0.4219653308391571,0.4219653308391571,0.4219653308391571,0.4219653308391571
mert95m_icarl_cl_gtzan_scenario2,CL,iCaRL,GTZAN,3,metal-blues,jazz-rock-classical-hiphop-reggae-country-metal-blues,0.2857142984867096,0.2857142984867096,0.2857142984867096,0.2857142984867096
mert95m_icarl_cl_gtzan_scenario2,CL,iCaRL,GTZAN,4,pop-disco,jazz-rock-classical-hiphop-reggae-country-metal-blues-pop-disco,0.2551724016666412,0.2551724016666412,0.2551724016666412,0.2551724016666412
mert95m_icarl_cl_gtzan_scenario3,CL,iCaRL,GTZAN,0,hiphop-metal,hiphop-metal,1.0,1.0,1.0,1.0
mert95m_icarl_cl_gtzan_scenario3,CL,iCaRL,GTZAN,1,reggae-pop,hiphop-metal-reggae-pop,0.8363636136054993,0.8363636136054993,0.8363636136054993,0.8363636136054993
mert95m_icarl_cl_gtzan_scenario3,CL,iCaRL,GTZAN,2,classical-rock,hiphop-metal-reggae-pop-classical-rock,0.5549132823944092,0.5549132823944092,0.5549132823944092,0.5549132823944092
mert95m_icarl_cl_gtzan_scenario3,CL,iCaRL,GTZAN,3,disco-blues,hiphop-metal-reggae-pop-classical-rock-disco-blues,0.3819742500782013,0.3819742500782013,0.3819742500782013,0.3819742500782013
mert95m_icarl_cl_gtzan_scenario3,CL,iCaRL,GTZAN,4,country-jazz,hiphop-metal-reggae-pop-classical-rock-disco-blues-country-jazz,0.3551724255084991,0.3551724255084991,0.3551724255084991,0.3551724255084991

mert95m_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,0,metal-pop,metal-pop,1.0,1.0,1.0,1.0
mert95m_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,1,country-disco,metal-pop-country-disco,0.3879310488700866,0.3879310488700866,0.3879310488700866,0.3879310488700866
mert95m_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.2873563170433044,0.2873563170433044,0.2873563170433044,0.2873563170433044
mert95m_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.3008474707603454,0.3008474707603454,0.3008474707603454,0.3008474707603454
mert95m_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.2275862097740173,0.2275862097740173,0.2275862097740173,0.2275862097740173
mert95m_gem_cl_gtzan_scenario2,CL,GEM,GTZAN,0,jazz-rock,jazz-rock,0.8474576473236084,0.8474576473236084,0.8474576473236084,0.8474576473236084
mert95m_gem_cl_gtzan_scenario2,CL,GEM,GTZAN,1,classical-hiphop,jazz-rock-classical-hiphop,0.7435897588729858,0.7435897588729858,0.7435897588729858,0.7435897588729858
mert95m_gem_cl_gtzan_scenario2,CL,GEM,GTZAN,2,reggae-country,jazz-rock-classical-hiphop-reggae-country,0.3757225573062897,0.3757225573062897,0.3757225573062897,0.3757225573062897
mert95m_gem_cl_gtzan_scenario2,CL,GEM,GTZAN,3,metal-blues,jazz-rock-classical-hiphop-reggae-country-metal-blues,0.4199134111404419,0.4199134111404419,0.4199134111404419,0.4199134111404419
mert95m_gem_cl_gtzan_scenario2,CL,GEM,GTZAN,4,pop-disco,jazz-rock-classical-hiphop-reggae-country-metal-blues-pop-disco,0.3206896483898163,0.3206896483898163,0.3206896483898163,0.3206896483898163
mert95m_gem_cl_gtzan_scenario3,CL,GEM,GTZAN,0,hiphop-metal,hiphop-metal,1.0,1.0,1.0,1.0
mert95m_gem_cl_gtzan_scenario3,CL,GEM,GTZAN,1,reggae-pop,hiphop-metal-reggae-pop,0.6818181872367859,0.6818181872367859,0.6818181872367859,0.6818181872367859
mert95m_gem_cl_gtzan_scenario3,CL,GEM,GTZAN,2,classical-rock,hiphop-metal-reggae-pop-classical-rock,0.4797687828540802,0.4797687828540802,0.4797687828540802,0.4797687828540802
mert95m_gem_cl_gtzan_scenario3,CL,GEM,GTZAN,3,disco-blues,hiphop-metal-reggae-pop-classical-rock-disco-blues,0.3433476388454437,0.3433476388454437,0.3433476388454437,0.3433476388454437
mert95m_gem_cl_gtzan_scenario3,CL,GEM,GTZAN,4,country-jazz,hiphop-metal-reggae-pop-classical-rock-disco-blues-country-jazz,0.2551724016666412,0.2551724016666412,0.2551724016666412,0.2551724016666412

mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,0,metal-pop,metal-pop,1.0,1.0,1.0,1.0
mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,1,country-disco,metal-pop-country-disco,0.4396551847457886,0.4396551847457886,0.4396551847457886,0.4396551847457886
mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.2586206793785095,0.2586206793785095,0.2586206793785095,0.2586206793785095
mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.2372881323099136,0.2372881323099136,0.2372881323099136,0.2372881323099136
mert95m_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.1827586144208908,0.1827586144208908,0.1827586144208908,0.1827586144208908
mert95m_ewc_cl_gtzan_scenario2,CL,EWC,GTZAN,0,jazz-rock,jazz-rock,0.9491525292396544,0.9491525292396544,0.9491525292396544,0.9491525292396544
mert95m_ewc_cl_gtzan_scenario2,CL,EWC,GTZAN,1,classical-hiphop,jazz-rock-classical-hiphop,0.4957264959812164,0.4957264959812164,0.4957264959812164,0.4957264959812164
mert95m_ewc_cl_gtzan_scenario2,CL,EWC,GTZAN,2,reggae-country,jazz-rock-classical-hiphop-reggae-country,0.2947976887226105,0.2947976887226105,0.2947976887226105,0.2947976887226105
mert95m_ewc_cl_gtzan_scenario2,CL,EWC,GTZAN,3,metal-blues,jazz-rock-classical-hiphop-reggae-country-metal-blues,0.2337662279605865,0.2337662279605865,0.2337662279605865,0.2337662279605865
mert95m_ewc_cl_gtzan_scenario2,CL,EWC,GTZAN,4,pop-disco,jazz-rock-classical-hiphop-reggae-country-metal-blues-pop-disco,0.1793103516101837,0.1793103516101837,0.1793103516101837,0.1793103516101837
mert95m_ewc_cl_gtzan_scenario3,CL,EWC,GTZAN,0,hiphop-metal,hiphop-metal,1.0,1.0,1.0,1.0
mert95m_ewc_cl_gtzan_scenario3,CL,EWC,GTZAN,1,reggae-pop,hiphop-metal-reggae-pop,0.4545454680919647,0.4545454680919647,0.4545454680919647,0.4545454680919647
mert95m_ewc_cl_gtzan_scenario3,CL,EWC,GTZAN,2,classical-rock,hiphop-metal-reggae-pop-classical-rock,0.3583815097808838,0.3583815097808838,0.3583815097808838,0.3583815097808838
mert95m_ewc_cl_gtzan_scenario3,CL,EWC,GTZAN,3,disco-blues,hiphop-metal-reggae-pop-classical-rock-disco-blues,0.2403433471918106,0.2403433471918106,0.2403433471918106,0.2403433471918106
mert95m_ewc_cl_gtzan_scenario3,CL,EWC,GTZAN,4,country-jazz,hiphop-metal-reggae-pop-classical-rock-disco-blues-country-jazz,0.1965517252683639,0.1965517252683639,0.1965517252683639,0.1965517252683639

mert95m_l2p_cl_gtzan_scenario1,CL,L2P,GTZAN,0,metal-pop,metal-pop,1.0,1.0,1.0,1.0
mert95m_l2p_cl_gtzan_scenario1,CL,L2P,GTZAN,1,country-disco,metal-pop-country-disco,0.4396551847457886,0.4396551847457886,0.4396551847457886,0.4396551847457886
mert95m_l2p_cl_gtzan_scenario1,CL,L2P,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.247126430273056,0.247126430273056,0.247126430273056,0.247126430273056
mert95m_l2p_cl_gtzan_scenario1,CL,L2P,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.2627118527889251,0.2627118527889251,0.2627118527889251,0.2627118527889251
mert95m_l2p_cl_gtzan_scenario1,CL,L2P,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.1862068921327591,0.1862068921327591,0.1862068921327591,0.1862068921327591
mert95m_l2p_cl_gtzan_scenario2,CL,L2P,GTZAN,0,jazz-rock,jazz-rock,0.9322034120559692,0.9322034120559692,0.9322034120559692,0.9322034120559692
mert95m_l2p_cl_gtzan_scenario2,CL,L2P,GTZAN,1,classical-hiphop,jazz-rock-classical-hiphop,0.4871794879436493,0.4871794879436493,0.4871794879436493,0.4871794879436493
mert95m_l2p_cl_gtzan_scenario2,CL,L2P,GTZAN,2,reggae-country,jazz-rock-classical-hiphop-reggae-country,0.3005780279636383,0.3005780279636383,0.3005780279636383,0.3005780279636383
mert95m_l2p_cl_gtzan_scenario2,CL,L2P,GTZAN,3,metal-blues,jazz-rock-classical-hiphop-reggae-country-metal-blues,0.2424242496490478,0.2424242496490478,0.2424242496490478,0.2424242496490478
mert95m_l2p_cl_gtzan_scenario2,CL,L2P,GTZAN,4,pop-disco,jazz-rock-classical-hiphop-reggae-country-metal-blues-pop-disco,0.1896551698446273,0.1896551698446273,0.1896551698446273,0.1896551698446273
mert95m_l2p_cl_gtzan_scenario3,CL,L2P,GTZAN,0,hiphop-metal,hiphop-metal,0.9629629850387572,0.9629629850387572,0.9629629850387572,0.9629629850387572
mert95m_l2p_cl_gtzan_scenario3,CL,L2P,GTZAN,1,reggae-pop,hiphop-metal-reggae-pop,0.4636363685131073,0.4636363685131073,0.4636363685131073,0.4636363685131073
mert95m_l2p_cl_gtzan_scenario3,CL,L2P,GTZAN,2,classical-rock,hiphop-metal-reggae-pop-classical-rock,0.3468208014965057,0.3468208014965057,0.3468208014965057,0.3468208014965057
mert95m_l2p_cl_gtzan_scenario3,CL,L2P,GTZAN,3,disco-blues,hiphop-metal-reggae-pop-classical-rock-disco-blues,0.2060085833072662,0.2060085833072662,0.2060085833072662,0.2060085833072662
mert95m_l2p_cl_gtzan_scenario3,CL,L2P,GTZAN,4,country-jazz,hiphop-metal-reggae-pop-classical-rock-disco-blues-country-jazz,0.1931034475564956,0.1931034475564956,0.1931034475564956,0.1931034475564956

mert95m_l2center_cl_gtzan_scenario1,CL,L2Center,GTZAN,0,metal-pop,metal-pop,1.0,1.0,1.0,1.0
mert95m_l2center_cl_gtzan_scenario1,CL,L2Center,GTZAN,1,country-disco,metal-pop-country-disco,0.818965494632721,0.818965494632721,0.818965494632721,0.818965494632721
mert95m_l2center_cl_gtzan_scenario1,CL,L2Center,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.6264367699623108,0.6264367699623108,0.6264367699623108,0.6264367699623108
mert95m_l2center_cl_gtzan_scenario1,CL,L2Center,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.5932203531265259,0.5932203531265259,0.5932203531265259,0.5932203531265259
