experiment_name,experiment_type,experiment_subtype,train_dataset_name,train_task_number,train_task_name,task_name,Accuracy,F1 Score,Precision,Recall

mert95m_base_oracle_nsynthinstrument_scenario1,Baseline,Oracle,NSynthInstrument,0,bass-brass,bass-brass,0.6465827226638794,0.6465827226638794,0.6465827226638794,0.6465827226638794
mert95m_base_oracle_nsynthinstrument_scenario1,Baseline,Oracle,NSynthInstrument,1,flute-guitar,bass-brass-flute-guitar,0.6105967164039612,0.6105967164039612,0.6105967164039612,0.6105967164039612
mert95m_base_oracle_nsynthinstrument_scenario1,Baseline,Oracle,NSynthInstrument,2,keyboard-mallet,bass-brass-flute-guitar-keyboard-mallet,0.6061126589775085,0.6061126589775085,0.6061126589775085,0.6061126589775085
mert95m_base_oracle_nsynthinstrument_scenario1,Baseline,Oracle,NSynthInstrument,3,organ-reed,bass-brass-flute-guitar-keyboard-mallet-organ-reed,0.5971499085426331,0.5971499085426331,0.5971499085426331,0.5971499085426331
mert95m_base_oracle_nsynthinstrument_scenario1,Baseline,Oracle,NSynthInstrument,4,string-synth_lead-vocal,bass-brass-flute-guitar-keyboard-mallet-organ-reed-string-synth_lead-vocal,0.63720703125,0.63720703125,0.63720703125,0.63720703125
mert95m_base_oracle_nsynthinstrument_scenario2,Baseline,Oracle,NSynthInstrument,0,keyboard-synth_lead,keyboard-synth_lead,0.6318537592887878,0.6318537592887878,0.6318537592887878,0.6318537592887878
mert95m_base_oracle_nsynthinstrument_scenario2,Baseline,Oracle,NSynthInstrument,1,mallet-guitar,keyboard-synth_lead-mallet-guitar,0.5925925970077515,0.5925925970077515,0.5925925970077515,0.5925925970077515
mert95m_base_oracle_nsynthinstrument_scenario2,Baseline,Oracle,NSynthInstrument,2,reed-string-bass,keyboard-synth_lead-mallet-guitar-reed-string-bass,0.6358188986778259,0.6358188986778259,0.6358188986778259,0.6358188986778259
mert95m_base_oracle_nsynthinstrument_scenario2,Baseline,Oracle,NSynthInstrument,3,vocal-brass,keyboard-synth_lead-mallet-guitar-reed-string-bass-vocal-brass,0.6572934985160828,0.6572934985160828,0.6572934985160828,0.6572934985160828
mert95m_base_oracle_nsynthinstrument_scenario2,Baseline,Oracle,NSynthInstrument,4,organ-flute,keyboard-synth_lead-mallet-guitar-reed-string-bass-vocal-brass-organ-flute,0.63720703125,0.63720703125,0.63720703125,0.63720703125
