experiment_name,experiment_type,experiment_subtype,train_dataset_name,train_task_number,train_task_name,task_name,Accuracy,F1 Score,Precision,Recall

mert95m_base_oracle_vocalsetsinger_scenario1,Baseline,Oracle,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,0.9794520735740662,0.9794520735740662,0.9794520735740662,0.9794520735740662
mert95m_base_oracle_vocalsetsinger_scenario1,Baseline,Oracle,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.9650349617004396,0.9650349617004396,0.9650349617004396,0.9650349617004396
mert95m_base_oracle_vocalsetsinger_scenario1,Baseline,Oracle,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.9767981171607972,0.9767981171607972,0.9767981171607972,0.9767981171607972
mert95m_base_oracle_vocalsetsinger_scenario1,Baseline,Oracle,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.9809027910232544,0.9809027910232544,0.9809027910232544,0.9809027910232544
mert95m_base_oracle_vocalsetsinger_scenario1,Baseline,Oracle,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.9819444417953492,0.9819444417953492,0.9819444417953492,0.9819444417953492
mert95m_base_oracle_vocalsetsinger_scenario2,Baseline,Oracle,VocalSetSinger,0,female9-male3-female3-female1,female9-male3-female3-female1,0.951724112033844,0.951724112033844,0.951724112033844,0.951724112033844
mert95m_base_oracle_vocalsetsinger_scenario2,Baseline,Oracle,VocalSetSinger,1,female8-male1-male9-female5,female9-male3-female3-female1-female8-male1-male9-female5,0.9688581228256226,0.9688581228256226,0.9688581228256226,0.9688581228256226
mert95m_base_oracle_vocalsetsinger_scenario2,Baseline,Oracle,VocalSetSinger,2,female2-male8-female6-male6,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6,0.9770641922950744,0.9770641922950744,0.9770641922950744,0.9770641922950744
mert95m_base_oracle_vocalsetsinger_scenario2,Baseline,Oracle,VocalSetSinger,3,male7-male4-male2-female7,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7,0.9810671210289,0.9810671210289,0.9810671210289,0.9810671210289
mert95m_base_oracle_vocalsetsinger_scenario2,Baseline,Oracle,VocalSetSinger,4,male10-female4-male5-male11,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7-male10-female4-male5-male11,0.9819444417953492,0.9819444417953492,0.9819444417953492,0.9819444417953492
mert95m_base_oracle_vocalsetsinger_scenario3,Baseline,Oracle,VocalSetSinger,0,female8-male7-male8-female1,female8-male7-male8-female1,0.9791666865348816,0.9791666865348816,0.9791666865348816,0.9791666865348816
mert95m_base_oracle_vocalsetsinger_scenario3,Baseline,Oracle,VocalSetSinger,1,male10-female7-male6-male1,female8-male7-male8-female1-male10-female7-male6-male1,0.9861591458320618,0.9861591458320618,0.9861591458320618,0.9861591458320618
mert95m_base_oracle_vocalsetsinger_scenario3,Baseline,Oracle,VocalSetSinger,2,female9-female5-male9-female4,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4,0.985981285572052,0.985981285572052,0.985981285572052,0.985981285572052
mert95m_base_oracle_vocalsetsinger_scenario3,Baseline,Oracle,VocalSetSinger,3,female3-male4-male5-female6,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6,0.9860627055168152,0.9860627055168152,0.9860627055168152,0.9860627055168152
mert95m_base_oracle_vocalsetsinger_scenario3,Baseline,Oracle,VocalSetSinger,4,male11-female2-male2-male3,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6-male11-female2-male2-male3,0.9819444417953492,0.9819444417953492,0.9819444417953492,0.9819444417953492

mert95m_finetuning_cl_vocalsetsinger_scenario2,CL,Finetuning,VocalSetSinger,0,female9-male3-female3-female1,female9-male3-female3-female1,0.9931034445762634,0.9931034445762634,0.9931034445762634,0.9931034445762634
mert95m_finetuning_cl_vocalsetsinger_scenario2,CL,Finetuning,VocalSetSinger,1,female8-male1-male9-female5,female9-male3-female3-female1-female8-male1-male9-female5,0.4913494884967804,0.4913494884967804,0.4913494884967804,0.4913494884967804
mert95m_finetuning_cl_vocalsetsinger_scenario2,CL,Finetuning,VocalSetSinger,2,female2-male8-female6-male6,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6,0.3371559679508209,0.3371559679508209,0.3371559679508209,0.3371559679508209
mert95m_finetuning_cl_vocalsetsinger_scenario2,CL,Finetuning,VocalSetSinger,3,male7-male4-male2-female7,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7,0.2461273670196533,0.2461273670196533,0.2461273670196533,0.2461273670196533
mert95m_finetuning_cl_vocalsetsinger_scenario2,CL,Finetuning,VocalSetSinger,4,male10-female4-male5-male11,female9-male3-female3-female1-female8-male1-male9-female5-female2-male8-female6-male6-male7-male4-male2-female7-male10-female4-male5-male11,0.1916666626930236,0.1916666626930236,0.1916666626930236,0.1916666626930236
mert95m_finetuning_cl_vocalsetsinger_scenario1,CL,Finetuning,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,0.9931507110595704,0.9931507110595704,0.9931507110595704,0.9931507110595704
