experiment_name,experiment_type,experiment_subtype,train_dataset_name,train_task_number,train_task_name,task_name,Accuracy,F1 Score,Precision,Recall

mert95m_base_oracle_vocalsettech_scenario1,Baseline,Oracle,VocalSetTech,0,vibrato-straight,vibrato-straight,0.7697368264198303,0.2247983962297439,0.2630834579467773,0.2083794474601745
mert95m_base_oracle_vocalsettech_scenario1,Baseline,Oracle,VocalSetTech,1,belt-breathy,vibrato-straight-belt-breathy,0.7341269850730896,0.3746176362037658,0.4189755618572235,0.3523319959640503
mert95m_base_oracle_vocalsettech_scenario1,Baseline,Oracle,VocalSetTech,2,lip_trill-spoken,vibrato-straight-belt-breathy-lip_trill-spoken,0.783171534538269,0.5451146960258484,0.5761263966560364,0.535406231880188
mert95m_base_oracle_vocalsettech_scenario1,Baseline,Oracle,VocalSetTech,3,inhaled-trill,vibrato-straight-belt-breathy-lip_trill-spoken-inhaled-trill,0.7743732333183289,0.6435781121253967,0.6853957772254944,0.625865638256073
mert95m_base_oracle_vocalsettech_scenario1,Baseline,Oracle,VocalSetTech,4,trillo-vocal_fry,vibrato-straight-belt-breathy-lip_trill-spoken-inhaled-trill-trillo-vocal_fry,0.7839080691337585,0.802574098110199,0.8345503211021423,0.7942578792572021
mert95m_base_oracle_vocalsettech_scenario2,Baseline,Oracle,VocalSetTech,0,belt-trill,belt-trill,0.7200000286102295,0.2392026484012603,0.2857142984867096,0.2057143002748489
mert95m_base_oracle_vocalsettech_scenario2,Baseline,Oracle,VocalSetTech,1,vibrato-inhaled,belt-trill-vibrato-inhaled,0.6459627151489258,0.3365464210510254,0.3916947245597839,0.2982878088951111
mert95m_base_oracle_vocalsettech_scenario2,Baseline,Oracle,VocalSetTech,2,breathy-straight,belt-trill-vibrato-inhaled-breathy-straight,0.7317880988121033,0.5029656291007996,0.557847261428833,0.4731840491294861
mert95m_base_oracle_vocalsettech_scenario2,Baseline,Oracle,VocalSetTech,3,vocal_fry-lip_trill,belt-trill-vibrato-inhaled-breathy-straight-vocal_fry-lip_trill,0.7753086686134338,0.6253297328948975,0.6668383479118347,0.6062577962875366
mert95m_base_oracle_vocalsettech_scenario2,Baseline,Oracle,VocalSetTech,4,spoken-trillo,belt-trill-vibrato-inhaled-breathy-straight-vocal_fry-lip_trill-spoken-trillo,0.7839080691337585,0.802574098110199,0.8345503211021423,0.7942578792572021
mert95m_base_oracle_vocalsettech_scenario3,Baseline,Oracle,VocalSetTech,0,spoken-breathy,spoken-breathy,0.6727272868156433,0.3560975790023803,0.4000000059604645,0.328000009059906
mert95m_base_oracle_vocalsettech_scenario3,Baseline,Oracle,VocalSetTech,1,straight-inhaled,spoken-breathy-straight-inhaled,0.8187134265899658,0.5799262523651123,0.6259819865226746,0.5490109920501709
mert95m_base_oracle_vocalsettech_scenario3,Baseline,Oracle,VocalSetTech,2,lip_trill-trillo,spoken-breathy-straight-inhaled-lip_trill-trillo,0.8629032373428345,0.6012215614318848,0.6385700702667236,0.5748962163925171
mert95m_base_oracle_vocalsettech_scenario3,Baseline,Oracle,VocalSetTech,3,vibrato-vocal_fry,spoken-breathy-straight-inhaled-lip_trill-trillo-vibrato-vocal_fry,0.7972221970558167,0.6656805872917175,0.7077187299728394,0.6502577662467957
mert95m_base_oracle_vocalsettech_scenario3,Baseline,Oracle,VocalSetTech,4,trill-belt,spoken-breathy-straight-inhaled-lip_trill-trillo-vibrato-vocal_fry-trill-belt,0.7839080691337585,0.802574098110199,0.8345503211021423,0.7942578792572021

mert95m_finetuning_cl_vocalsettech_scenario1,CL,Finetuning,VocalSetTech,0,vibrato-straight,vibrato-straight,0.8421052694320679,0.8192986249923706,0.895652174949646,0.8032786846160889
mert95m_finetuning_cl_vocalsettech_scenario1,CL,Finetuning,VocalSetTech,1,belt-breathy,vibrato-straight-belt-breathy,0.380952388048172,0.2734324634075165,0.191287875175476,0.4800000190734863
mert95m_finetuning_cl_vocalsettech_scenario1,CL,Finetuning,VocalSetTech,2,lip_trill-spoken,vibrato-straight-belt-breathy-lip_trill-spoken,0.1844660192728042,0.1057469174265861,0.0728202238678932,0.3333333432674408
mert95m_finetuning_cl_vocalsettech_scenario1,CL,Finetuning,VocalSetTech,3,inhaled-trill,vibrato-straight-belt-breathy-lip_trill-spoken-inhaled-trill,0.1253481954336166,0.0617673471570014,0.0368648767471313,0.2249999940395355
mert95m_finetuning_cl_vocalsettech_scenario1,CL,Finetuning,VocalSetTech,4,trillo-vocal_fry,vibrato-straight-belt-breathy-lip_trill-spoken-inhaled-trill-trillo-vocal_fry,0.1701149493455886,0.0581507682800293,0.0341379307210445,0.1960784345865249
mert95m_finetuning_cl_vocalsettech_scenario2,CL,Finetuning,VocalSetTech,0,belt-trill,belt-trill,0.8799999952316284,0.8742783069610596,0.8676470518112183,0.9099999666213988
mert95m_finetuning_cl_vocalsettech_scenario2,CL,Finetuning,VocalSetTech,1,vibrato-inhaled,belt-trill-vibrato-inhaled,0.52173912525177,0.3848223388195038,0.3421323597431183,0.4800000190734863
mert95m_finetuning_cl_vocalsettech_scenario2,CL,Finetuning,VocalSetTech,2,breathy-straight,belt-trill-vibrato-inhaled-breathy-straight,0.4337748289108276,0.2133836448192596,0.1661184579133987,0.3105128407478332
mert95m_finetuning_cl_vocalsettech_scenario2,CL,Finetuning,VocalSetTech,3,vocal_fry-lip_trill,belt-trill-vibrato-inhaled-breathy-straight-vocal_fry-lip_trill,0.2543209791183471,0.156559407711029,0.143059492111206,0.25
mert95m_finetuning_cl_vocalsettech_scenario2,CL,Finetuning,VocalSetTech,4,spoken-trillo,belt-trill-vibrato-inhaled-breathy-straight-vocal_fry-lip_trill-spoken-trillo,0.1862068921327591,0.143368124961853,0.1255213171243667,0.2980769276618957
mert95m_finetuning_cl_vocalsettech_scenario3,CL,Finetuning,VocalSetTech,0,spoken-breathy,spoken-breathy,1.0,1.0,1.0,1.0
mert95m_finetuning_cl_vocalsettech_scenario3,CL,Finetuning,VocalSetTech,1,straight-inhaled,spoken-breathy-straight-inhaled,0.6315789222717285,0.3398213386535644,0.2812608778476715,0.4345054924488067
mert95m_finetuning_cl_vocalsettech_scenario3,CL,Finetuning,VocalSetTech,2,lip_trill-trillo,spoken-breathy-straight-inhaled-lip_trill-trillo,0.4435483813285827,0.3644916117191314,0.4788268804550171,0.4345421195030212
mert95m_finetuning_cl_vocalsettech_scenario3,CL,Finetuning,VocalSetTech,3,vibrato-vocal_fry,spoken-breathy-straight-inhaled-lip_trill-trillo-vibrato-vocal_fry,0.2805555462837219,0.1068691983819007,0.0700579136610031,0.2258518189191818
mert95m_finetuning_cl_vocalsettech_scenario3,CL,Finetuning,VocalSetTech,4,trill-belt,spoken-breathy-straight-inhaled-lip_trill-trillo-vibrato-vocal_fry-trill-belt,0.1724137961864471,0.0594972372055053,0.0358849130570888,0.2000000029802322

mert95m_replay_cl_vocalsettech_scenario1,CL,Replay,VocalSetTech,0,vibrato-straight,vibrato-straight,0.9144737124443054,0.9070336818695068,0.9375,0.8934426307678223
mert95m_replay_cl_vocalsettech_scenario1,CL,Replay,VocalSetTech,1,belt-breathy,vibrato-straight-belt-breathy,0.726190447807312,0.7160142064094543,0.7206199169158936,0.7365618944168091
mert95m_replay_cl_vocalsettech_scenario1,CL,Replay,VocalSetTech,2,lip_trill-spoken,vibrato-straight-belt-breathy-lip_trill-spoken,0.5954692363739014,0.46759894490242,0.3997950255870819,0.6145740151405334
mert95m_replay_cl_vocalsettech_scenario1,CL,Replay,VocalSetTech,3,inhaled-trill,vibrato-straight-belt-breathy-lip_trill-spoken-inhaled-trill,0.2367687970399856,0.1523146629333496,0.1373881846666336,0.2871977984905243
mert95m_replay_cl_vocalsettech_scenario1,CL,Replay,VocalSetTech,4,trillo-vocal_fry,vibrato-straight-belt-breathy-lip_trill-spoken-inhaled-trill-trillo-vocal_fry,0.3586207032203674,0.192993089556694,0.1674220412969589,0.3045634031295776
mert95m_replay_cl_vocalsettech_scenario2,CL,Replay,VocalSetTech,0,belt-trill,belt-trill,0.946666657924652,0.942129611968994,0.9310344457626344,0.9600000381469728
mert95m_replay_cl_vocalsettech_scenario2,CL,Replay,VocalSetTech,1,vibrato-inhaled,belt-trill-vibrato-inhaled,0.6211180090904236,0.5978628396987915,0.8570833206176758,0.625
mert95m_replay_cl_vocalsettech_scenario2,CL,Replay,VocalSetTech,2,breathy-straight,belt-trill-vibrato-inhaled-breathy-straight,0.5993377566337585,0.4406988620758056,0.3816285729408264,0.5235164761543274
mert95m_replay_cl_vocalsettech_scenario2,CL,Replay,VocalSetTech,3,vocal_fry-lip_trill,belt-trill-vibrato-inhaled-breathy-straight-vocal_fry-lip_trill,0.3333333432674408,0.2924650907516479,0.3081727623939514,0.3625000119209289
mert95m_replay_cl_vocalsettech_scenario2,CL,Replay,VocalSetTech,4,spoken-trillo,belt-trill-vibrato-inhaled-breathy-straight-vocal_fry-lip_trill-spoken-trillo,0.1839080452919006,0.1115389615297317,0.0692896246910095,0.3000000119209289
mert95m_replay_cl_vocalsettech_scenario3,CL,Replay,VocalSetTech,0,spoken-breathy,spoken-breathy,1.0,1.0,1.0,1.0
mert95m_replay_cl_vocalsettech_scenario3,CL,Replay,VocalSetTech,1,straight-inhaled,spoken-breathy-straight-inhaled,0.8888888955116272,0.8790524005889893,0.8971397280693054,0.8767582178115845
mert95m_replay_cl_vocalsettech_scenario3,CL,Replay,VocalSetTech,2,lip_trill-trillo,spoken-breathy-straight-inhaled-lip_trill-trillo,0.6612903475761414,0.6473842859268188,0.7512962818145752,0.7639560699462891
