experiment_name,experiment_type,experiment_subtype,train_dataset_name,train_task_number,train_task_name,task_name,Accuracy,F1 Score,Precision,Recall
clmrsamplecnn_base_oracle_gtzan_all,Baseline,Oracle,GTZAN,0,metal-pop,metal-pop,0.719298243522644,0.719298243522644,0.719298243522644,0.719298243522644
clmrsamplecnn_base_oracle_gtzan_all,Baseline,Oracle,GTZAN,1,country-disco,metal-pop-country-disco,0.7155172228813171,0.7155172228813171,0.7155172228813171,0.7155172228813171
clmrsamplecnn_base_oracle_gtzan_all,Baseline,Oracle,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.6724137663841248,0.6724137663841248,0.6724137663841248,0.6724137663841248
clmrsamplecnn_base_oracle_gtzan_all,Baseline,Oracle,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.6525423526763916,0.6525423526763916,0.6525423526763916,0.6525423526763916
clmrsamplecnn_base_oracle_gtzan_all,Baseline,Oracle,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.6793103218078613,0.6793103218078613,0.6793103218078613,0.6793103218078613
clmrsamplecnn_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,0,metal-pop,metal-pop,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916
clmrsamplecnn_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,1,country-disco,metal-pop-country-disco,0.4827586114406585,0.4827586114406585,0.4827586114406585,0.4827586114406585
clmrsamplecnn_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.3045977056026459,0.3045977056026459,0.3045977056026459,0.3045977056026459
clmrsamplecnn_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.2627118527889251,0.2627118527889251,0.2627118527889251,0.2627118527889251
clmrsamplecnn_finetuning_cl_gtzan_scenario1,CL,Finetuning,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.2344827651977539,0.2344827651977539,0.2344827651977539,0.2344827651977539
clmrsamplecnn_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,0,metal-pop,metal-pop,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916
clmrsamplecnn_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,1,country-disco,metal-pop-country-disco,0.6724137663841248,0.6724137663841248,0.6724137663841248,0.6724137663841248
clmrsamplecnn_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.4540229737758636,0.4540229737758636,0.4540229737758636,0.4540229737758636
clmrsamplecnn_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.3686440587043762,0.3686440587043762,0.3686440587043762,0.3686440587043762
clmrsamplecnn_replay_cl_gtzan_scenario1,CL,Replay,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.2551724016666412,0.2551724016666412,0.2551724016666412,0.2551724016666412
clmrsamplecnn_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,0,metal-pop,metal-pop,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916
clmrsamplecnn_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,1,country-disco,metal-pop-country-disco,0.7241379022598267,0.7241379022598267,0.7241379022598267,0.7241379022598267
clmrsamplecnn_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.5,0.5,0.5,0.5
clmrsamplecnn_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.3983050882816314,0.3983050882816314,0.3983050882816314,0.3983050882816314
clmrsamplecnn_icarl_cl_gtzan_scenario1,CL,iCaRL,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.2655172348022461,0.2655172348022461,0.2655172348022461,0.2655172348022461
clmrsamplecnn_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,0,metal-pop,metal-pop,0.9824561476707458,0.9824561476707458,0.9824561476707458,0.9824561476707458
clmrsamplecnn_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,1,country-disco,metal-pop-country-disco,0.6206896305084229,0.6206896305084229,0.6206896305084229,0.6206896305084229
clmrsamplecnn_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.4425287246704101,0.4425287246704101,0.4425287246704101,0.4425287246704101
clmrsamplecnn_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.3855932056903839,0.3855932056903839,0.3855932056903839,0.3855932056903839
clmrsamplecnn_gem_cl_gtzan_scenario1,CL,GEM,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.2689655125141144,0.2689655125141144,0.2689655125141144,0.2689655125141144
clmrsamplecnn_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,0,metal-pop,metal-pop,0.9649122953414916,0.9649122953414916,0.9649122953414916,0.9649122953414916
clmrsamplecnn_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,1,country-disco,metal-pop-country-disco,0.4913793206214905,0.4913793206214905,0.4913793206214905,0.4913793206214905
clmrsamplecnn_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,2,reggae-rock,metal-pop-country-disco-reggae-rock,0.2931034564971924,0.2931034564971924,0.2931034564971924,0.2931034564971924
clmrsamplecnn_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,3,blues-classical,metal-pop-country-disco-reggae-rock-blues-classical,0.2711864411830902,0.2711864411830902,0.2711864411830902,0.2711864411830902
clmrsamplecnn_ewc_cl_gtzan_scenario1,CL,EWC,GTZAN,4,hiphop-jazz,metal-pop-country-disco-reggae-rock-blues-classical-hiphop-jazz,0.1862068921327591,0.1862068921327591,0.1862068921327591,0.1862068921327591
clmrsamplecnn_base_oracle_vocalsetsinger_all,Baseline,Oracle,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,0.8835616707801819,0.8835616707801819,0.8835616707801819,0.8835616707801819
clmrsamplecnn_base_oracle_vocalsetsinger_all,Baseline,Oracle,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.881118893623352,0.881118893623352,0.881118893623352,0.881118893623352
clmrsamplecnn_base_oracle_vocalsetsinger_all,Baseline,Oracle,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.860788881778717,0.860788881778717,0.860788881778717,0.860788881778717
clmrsamplecnn_base_oracle_vocalsetsinger_all,Baseline,Oracle,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.8663194179534912,0.8663194179534912,0.8663194179534912,0.8663194179534912
clmrsamplecnn_base_oracle_vocalsetsinger_all,Baseline,Oracle,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.8680555820465088,0.8680555820465088,0.8680555820465088,0.8680555820465088
clmrsamplecnn_finetuning_cl_vocalsetsinger_scenario1,CL,Finetuning,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,0.9589040875434875,0.9589040875434875,0.9589040875434875,0.9589040875434875
clmrsamplecnn_finetuning_cl_vocalsetsinger_scenario1,CL,Finetuning,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.4650349617004394,0.4650349617004394,0.4650349617004394,0.4650349617004394
clmrsamplecnn_finetuning_cl_vocalsetsinger_scenario1,CL,Finetuning,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.3085846900939941,0.3085846900939941,0.3085846900939941,0.3085846900939941
clmrsamplecnn_finetuning_cl_vocalsetsinger_scenario1,CL,Finetuning,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.2465277761220932,0.2465277761220932,0.2465277761220932,0.2465277761220932
clmrsamplecnn_finetuning_cl_vocalsetsinger_scenario1,CL,Finetuning,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.1958333402872085,0.1958333402872085,0.1958333402872085,0.1958333402872085
clmrsamplecnn_replay_cl_vocalsetsinger_scenario1,CL,Replay,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,0.9589040875434875,0.9589040875434875,0.9589040875434875,0.9589040875434875
clmrsamplecnn_replay_cl_vocalsetsinger_scenario1,CL,Replay,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.748251736164093,0.748251736164093,0.748251736164093,0.748251736164093
clmrsamplecnn_replay_cl_vocalsetsinger_scenario1,CL,Replay,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.4686774909496307,0.4686774909496307,0.4686774909496307,0.4686774909496307
clmrsamplecnn_replay_cl_vocalsetsinger_scenario1,CL,Replay,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.2934027910232544,0.2934027910232544,0.2934027910232544,0.2934027910232544
